=== xsim kat_sim -R ===
BANKPOP t=556410000 word=64c70031b01810b4 acclen=64 vb=1
BANKPOP t=556510000 word=c2082d820a7098a2 acclen=72 vb=1
BANKPOP t=556590000 word=4165920164301b21 acclen=68 vb=1
BANKPOP t=556660000 word=4d049a44c69449b4 acclen=64 vb=0
BANKPOP t=556760000 word=124962268b0d18d9 acclen=72 vb=1
BANKPOP t=556830000 word=6490291321c41b62 acclen=68 vb=0
BANKPOP t=556910000 word=0612004924233118 acclen=64 vb=0
BANKPOP t=557610000 word=16482c27086d0499 acclen=72 vb=0
BANKPOP t=557690000 word=248c92d431a0248d acclen=68 vb=0
BANKPOP t=557770000 word=01462110365c0cc0 acclen=64 vb=1
BANKPOP t=557860000 word=c20841a2a14a131c acclen=72 vb=0
BANKPOP t=557940000 word=a32604646020c349 acclen=68 vb=0
BANKPOP t=558020000 word=05262230140850b0 acclen=64 vb=1
BANKPOP t=558110000 word=82da901094321118 acclen=72 vb=0
BANKPOP t=558190000 word=842526e084024c8d acclen=68 vb=0
BANKPOP t=558270000 word=30830820961c24b0 acclen=64 vb=1
BANKPOP t=558360000 word=16a401c05b041913 acclen=72 vb=0
BANKPOP t=558440000 word=d28c07124644db11 acclen=68 vb=1
BANKPOP t=558510000 word=0592542198d84042 acclen=64 vb=0
BANKPOP t=559210000 word=c2ca62304a01b888 acclen=72 vb=0
BANKPOP t=559310000 word=8165201449a48c61 acclen=68 vb=1
BANKPOP t=559380000 word=3000608e16d48c02 acclen=64 vb=1
BANKPOP t=559480000 word=a4826430984030cc acclen=72 vb=0
BANKPOP t=559560000 word=892cc1135136210c acclen=68 vb=0
BANKPOP t=559640000 word=2088880180dc20b4 acclen=64 vb=1
BANKPOP t=559730000 word=44506e38c4050314 acclen=72 vb=1
BANKPOP t=559810000 word=2265b22109310c28 acclen=68 vb=1
BANKPOP t=559880000 word=7048d90840528538 acclen=64 vb=0
BANKPOP t=559980000 word=34882942a046465a acclen=72 vb=1
BANKPOP t=560050000 word=5b64389c04109852 acclen=68 vb=0
BANKPOP t=560130000 word=00a0608e38d169a2 acclen=64 vb=0
BANKPOP t=560830000 word=06d904a8a35118d9 acclen=72 vb=1
BANKPOP t=560910000 word=046c424262280221 acclen=68 vb=0
BANKPOP t=560990000 word=8114a109271984a9 acclen=64 vb=1
BANKPOP t=561080000 word=264141841371a810 acclen=72 vb=1
BANKPOP t=561160000 word=4005211389180041 acclen=68 vb=0
BANKPOP t=561240000 word=6a33000490828a38 acclen=64 vb=0
BANKPOP t=561330000 word=991b6236914120a4 acclen=72 vb=0
BANKPOP t=561420000 word=1010a61009984c6d acclen=68 vb=1
BANKPOP t=561500000 word=2492005240ca3034 acclen=64 vb=1
BANKPOP t=561590000 word=a8c2612289859294 acclen=72 vb=0
BANKPOP t=561670000 word=1462049a51104b08 acclen=68 vb=0
BANKPOP t=561750000 word=2142c04a029a10c5 acclen=64 vb=0
BANKPOP t=562460000 word=b41a0886e47142db acclen=72 vb=1
BANKPOP t=562530000 word=dc40102401469a11 acclen=68 vb=0
BANKPOP t=562620000 word=89b9048592a105c0 acclen=64 vb=1
BANKPOP t=562710000 word=140c70269b0596dc acclen=72 vb=0
BANKPOP t=562800000 word=e231a62284c68310 acclen=68 vb=1
BANKPOP t=562870000 word=71105a8a26818d80 acclen=64 vb=0
BANKPOP t=562970000 word=20482d491b20b853 acclen=72 vb=0
BANKPOP t=563050000 word=8a28a09120a84b08 acclen=68 vb=0
BANKPOP t=563130000 word=4a48c244a2d129a8 acclen=64 vb=0
BANKPOP t=563240000 word=b2020a411c45a89c acclen=72 vb=0
BANKPOP t=563330000 word=221008930a312124 acclen=68 vb=1
BANKPOP t=563400000 word=01829a68431204c8 acclen=64 vb=0
BANKPOP t=594070000 word=5eee188f36d00c6d acclen=80 vb=1
BANKPOP t=594090000 word=13633f391a08a3da acclen=96 vb=1
BANKPOP t=594100000 word=17136ac848d77028 acclen=72 vb=1
BANKPOP t=594120000 word=5d6b446380b6fbb2 acclen=88 vb=1
BANKPOP t=594130000 word=ecbc51990454996f acclen=64 vb=1
BANKPOP t=594150000 word=9586956d85767d1b acclen=80 vb=1
BANKPOP t=594170000 word=8770decc4b0b44ea acclen=96 vb=1
BANKPOP t=594180000 word=5e9328f7ccc0db18 acclen=72 vb=1
BANKPOP t=594200000 word=8562b5cae4e87b92 acclen=88 vb=1
BANKPOP t=594210000 word=443c1884e0b213cd acclen=64 vb=1
BANKPOP t=594230000 word=88b04a4e87e0f5ed acclen=80 vb=1
BANKPOP t=594250000 word=90db793d0e8d16e6 acclen=96 vb=1
BANKPOP t=594260000 word=72ee2496063bfcea acclen=72 vb=1
BANKPOP t=594280000 word=0cddd049a306f847 acclen=88 vb=1
BANKPOP t=594290000 word=9b2404437a4a896b acclen=64 vb=1
BANKPOP t=594310000 word=4b42ceee7989be4b acclen=80 vb=1
BANKPOP t=594330000 word=5505784eace5b863 acclen=96 vb=1
BANKPOP t=594340000 word=67258f250bfcfdc0 acclen=72 vb=1
BANKPOP t=594360000 word=ad5fa676171eb650 acclen=88 vb=1
BANKPOP t=594370000 word=11c85fd2f962af46 acclen=64 vb=1
BANKPOP t=594390000 word=31928934df31ff05 acclen=80 vb=1
BANKPOP t=594410000 word=25ae9e52ec66d8b9 acclen=96 vb=1
BANKPOP t=594420000 word=014a10c51b5e75c4 acclen=72 vb=1
BANKPOP t=594440000 word=def8c5f3ffcb37e0 acclen=88 vb=1
BANKPOP t=594450000 word=b6ca1186e1578d38 acclen=64 vb=1
BANKPOP t=594470000 word=01d41abac70b8d09 acclen=80 vb=1
BANKPOP t=594490000 word=461f0774fde1bf2b acclen=96 vb=1
BANKPOP t=594500000 word=90f32ade8ebc1e40 acclen=72 vb=1
BANKPOP t=594520000 word=5b8e3861cf001980 acclen=88 vb=1
BANKPOP t=594530000 word=e1d392b0dc9b17ac acclen=64 vb=1
BANKPOP t=594550000 word=2b3e8af80a8bdf0b acclen=80 vb=1
BANKPOP t=594570000 word=8c863a36257c3818 acclen=96 vb=1
BANKPOP t=594580000 word=8c8c0b9e457bd31c acclen=72 vb=1
BANKPOP t=594600000 word=59d38fe1ecff07b8 acclen=88 vb=1
BANKPOP t=594610000 word=bec37651bd5fdafb acclen=64 vb=1
BANKPOP t=594630000 word=721b2da9b2cf28f7 acclen=80 vb=1
BANKPOP t=594650000 word=e910ff14cbc08d55 acclen=96 vb=1
BANKPOP t=594660000 word=49e1ec001ddbd51c acclen=72 vb=1
BANKPOP t=594680000 word=ba97ddadb2273060 acclen=88 vb=1
BANKPOP t=594690000 word=9d3221e1da2bf909 acclen=64 vb=0
BANKPOP t=594820000 word=f062693ee52c59ed acclen=80 vb=1
BANKPOP t=594840000 word=3a9f85f506b85941 acclen=96 vb=1
BANKPOP t=594850000 word=6ee0973162f9513d acclen=72 vb=1
BANKPOP t=594870000 word=01412e90f75a2b33 acclen=88 vb=1
BANKPOP t=594880000 word=5737f3ab5b705187 acclen=64 vb=1
BANKPOP t=594900000 word=3bf43680f4b142a1 acclen=80 vb=1
BANKPOP t=594920000 word=74bb7d2989753ff2 acclen=96 vb=1
BANKPOP t=594930000 word=29f4c9e6ce54124a acclen=72 vb=1
BANKPOP t=594950000 word=1dac75f9b4dd6174 acclen=88 vb=1
BANKPOP t=594960000 word=bd57f9d197048511 acclen=64 vb=1
BANKPOP t=594980000 word=b76b5dca2af4407a acclen=80 vb=1
BANKPOP t=595000000 word=a5ae35ce10617af6 acclen=96 vb=1
BANKPOP t=595010000 word=39641994c414931d acclen=72 vb=1
BANKPOP t=595030000 word=08ac93715d67c3cb acclen=88 vb=1
BANKPOP t=595040000 word=48d5c07e239279a7 acclen=64 vb=1
BANKPOP t=595060000 word=2644efc1a329e57c acclen=80 vb=1
BANKPOP t=595080000 word=f50f2fe49860a5d2 acclen=96 vb=1
BANKPOP t=595090000 word=5092640db8b3ab9a acclen=72 vb=1
BANKPOP t=595110000 word=823dc81aabace8a7 acclen=88 vb=1
BANKPOP t=595120000 word=ae087f5d72425267 acclen=64 vb=1
BANKPOP t=595140000 word=c836bcc97a62a382 acclen=80 vb=1
BANKPOP t=595160000 word=d5366bee9929165c acclen=96 vb=1
BANKPOP t=595170000 word=5a8937b98619b75f acclen=72 vb=1
BANKPOP t=595190000 word=6bfda3ca0d4b3c18 acclen=88 vb=1
BANKPOP t=595200000 word=c33df3cdb49ff3bf acclen=64 vb=1
BANKPOP t=595220000 word=fa73fcc3b621f816 acclen=80 vb=1
BANKPOP t=595240000 word=022e98cd79f53785 acclen=96 vb=1
BANKPOP t=595250000 word=1e0f384efe6f3d74 acclen=72 vb=1
BANKPOP t=595270000 word=97959c25c67a43b0 acclen=88 vb=1
BANKPOP t=595280000 word=891b5c0072465b68 acclen=64 vb=1
BANKPOP t=595300000 word=ba66e119622e2985 acclen=80 vb=1
BANKPOP t=595320000 word=0822d03a7fd92942 acclen=96 vb=1
BANKPOP t=595330000 word=d0716e1498bc0058 acclen=72 vb=1
BANKPOP t=595350000 word=b969cf97ed87d478 acclen=88 vb=1
BANKPOP t=595360000 word=0d1d5624917bead0 acclen=64 vb=1
BANKPOP t=595380000 word=97559cdf443f586c acclen=80 vb=1
BANKPOP t=595400000 word=dabb8c996f3ef726 acclen=96 vb=1
BANKPOP t=595410000 word=84e7490fd40e8db1 acclen=72 vb=1
BANKPOP t=595430000 word=10d1d635c390bef0 acclen=88 vb=1
BANKPOP t=595440000 word=f30064f8acba330a acclen=64 vb=0
BANKPOP t=595570000 word=6f7871b49cf9fdf8 acclen=80 vb=1
BANKPOP t=595590000 word=1ef99430ea192fc0 acclen=96 vb=1
BANKPOP t=595600000 word=7396c6b81df61944 acclen=72 vb=1
BANKPOP t=595620000 word=4dd060d7fdaa6d48 acclen=88 vb=1
BANKPOP t=595630000 word=73e6fcf027249d52 acclen=64 vb=1
BANKPOP t=595650000 word=617cb06631a998a6 acclen=80 vb=1
BANKPOP t=595670000 word=36a1d115e2774402 acclen=96 vb=1
BANKPOP t=595680000 word=b5f6ae28de06c84c acclen=72 vb=1
BANKPOP t=595700000 word=d8450fff347f2133 acclen=88 vb=1
BANKPOP t=595710000 word=572c116270561689 acclen=64 vb=1
BANKPOP t=595730000 word=c9c440e03c868667 acclen=80 vb=1
BANKPOP t=595750000 word=9aa5a942d378bf45 acclen=96 vb=1
BANKPOP t=595760000 word=bf16d41591b3ad73 acclen=72 vb=1
BANKPOP t=595780000 word=d1dbd02c0394d6b0 acclen=88 vb=1
BANKPOP t=595790000 word=7270cec9d424adfd acclen=64 vb=1
BANKPOP t=595810000 word=55c5dc655a738fb9 acclen=80 vb=1
BANKPOP t=595830000 word=2423ec13c6653a4b acclen=96 vb=1
BANKPOP t=595840000 word=878765a5735e0e66 acclen=72 vb=1
BANKPOP t=595860000 word=97fa286d9cf8d8cd acclen=88 vb=1
BANKPOP t=595870000 word=60eb19ccda08fead acclen=64 vb=1
BANKPOP t=595890000 word=0ec83f0aa95c2117 acclen=80 vb=1
BANKPOP t=595910000 word=65050ce6885a1569 acclen=96 vb=1
BANKPOP t=595920000 word=ee3c3cb7bc202ddb acclen=72 vb=1
BANKPOP t=595940000 word=127716ab9dc299ab acclen=88 vb=1
BANKPOP t=595950000 word=bbbf808e655954c3 acclen=64 vb=1
BANKPOP t=595970000 word=35b1274d0890c2b9 acclen=80 vb=1
BANKPOP t=595990000 word=904add1891f6a4c0 acclen=96 vb=1
BANKPOP t=596000000 word=e469ef551ab77c16 acclen=72 vb=1
BANKPOP t=596020000 word=5a6901bb4081e4d3 acclen=88 vb=1
BANKPOP t=596030000 word=eb125915b817a8d8 acclen=64 vb=1
BANKPOP t=596050000 word=a2bf8fe757163be4 acclen=80 vb=1
BANKPOP t=596070000 word=fbae3a2940743486 acclen=96 vb=1
BANKPOP t=596080000 word=9951105870f8119f acclen=72 vb=1
BANKPOP t=596100000 word=1bafbbda587c5515 acclen=88 vb=1
BANKPOP t=596110000 word=5eca31c4f3fff9ed acclen=64 vb=1
BANKPOP t=596130000 word=fd847cd53862f106 acclen=80 vb=1
BANKPOP t=596150000 word=662fe2c8c44c1493 acclen=96 vb=1
BANKPOP t=596160000 word=e80cf89df0396035 acclen=72 vb=1
BANKPOP t=596180000 word=f8c3b9206130abd6 acclen=88 vb=1
BANKPOP t=596190000 word=5245e4c9d010709e acclen=64 vb=0
BANKPOP t=596320000 word=37fd8c1ef93374a4 acclen=80 vb=1
BANKPOP t=596340000 word=d8129c947edba582 acclen=96 vb=1
BANKPOP t=596350000 word=25f6083808e10517 acclen=72 vb=1
BANKPOP t=596370000 word=772abf651345cda7 acclen=88 vb=1
BANKPOP t=596380000 word=db1ddadd00de5790 acclen=64 vb=1
BANKPOP t=596400000 word=15bf9bcb99aa189b acclen=80 vb=1
BANKPOP t=596420000 word=d57ec6362390a6bf acclen=96 vb=1
BANKPOP t=596430000 word=6e07003e9eea87a5 acclen=72 vb=1
BANKPOP t=596450000 word=7c7b65dd1721bfd0 acclen=88 vb=1
BANKPOP t=596460000 word=ca6a81150a1a04b9 acclen=64 vb=1
BANKPOP t=596480000 word=ffc7ca3581cfc50c acclen=80 vb=1
BANKPOP t=596500000 word=f4d9aaf4478ea2c0 acclen=96 vb=1
BANKPOP t=596510000 word=c8f3419293a2afbd acclen=72 vb=1
BANKPOP t=596530000 word=aee45d56d5839b23 acclen=88 vb=1
BANKPOP t=596540000 word=948be2b728f7e0c3 acclen=64 vb=1
BANKPOP t=596560000 word=dcd76619e29b19e1 acclen=80 vb=1
BANKPOP t=596580000 word=1470da2e0467f2be acclen=96 vb=1
BANKPOP t=596590000 word=90fa43df58a031cd acclen=72 vb=1
BANKPOP t=596610000 word=add3557728d89378 acclen=88 vb=1
BANKPOP t=596620000 word=e16a08aa08b51a29 acclen=64 vb=1
BANKPOP t=596640000 word=cb0f43e1f7efd99d acclen=80 vb=1
BANKPOP t=596660000 word=a378cf7f926b083b acclen=96 vb=1
BANKPOP t=596670000 word=9d1568ef8e337989 acclen=72 vb=1
BANKPOP t=596690000 word=e744ac89ec40cde6 acclen=88 vb=1
BANKPOP t=596700000 word=42bee7dcda3c4803 acclen=64 vb=1
BANKPOP t=596720000 word=5403e7a0ee34b796 acclen=80 vb=1
BANKPOP t=596740000 word=3bb4607ca82324f8 acclen=96 vb=1
BANKPOP t=596750000 word=35a7bb4bfa14510b acclen=72 vb=1
BANKPOP t=596770000 word=23e0ed73b17775de acclen=88 vb=1
BANKPOP t=596780000 word=918046a1adf95df0 acclen=64 vb=1
BANKPOP t=596800000 word=87e4241b19c03eea acclen=80 vb=1
BANKPOP t=596820000 word=dc4f91b03f7c4df9 acclen=96 vb=1
BANKPOP t=596830000 word=ce905cac5ed48de6 acclen=72 vb=1
BANKPOP t=596850000 word=c6178615bc4d9e54 acclen=88 vb=1
BANKPOP t=596860000 word=433ce434d833da45 acclen=64 vb=1
BANKPOP t=596880000 word=1a81ff4c580a1e8c acclen=80 vb=1
BANKPOP t=596900000 word=c0bb2318fb671c48 acclen=96 vb=1
BANKPOP t=596910000 word=4f6df42690024a21 acclen=72 vb=1
BANKPOP t=596930000 word=06078978756f4acb acclen=88 vb=1
BANKPOP t=596940000 word=70e02437086018e5 acclen=64 vb=0
BANKPOP t=597010000 word=ae6aef41e48d4dac acclen=104 vb=1
BANKPOP t=597020000 word=4dd81a87e770974a acclen=92 vb=1
BANKPOP t=597030000 word=d53c7a65cd424a7e acclen=80 vb=1
BANKPOP t=597040000 word=a940332046c7f178 acclen=68 vb=1
BANKPOP t=597060000 word=148fb7c0f0491e3d acclen=108 vb=1
BANKPOP t=597070000 word=147e5f341dbd23a8 acclen=96 vb=1
BANKPOP t=597080000 word=0fd113ddb0f7a991 acclen=84 vb=1
BANKPOP t=597090000 word=5ccf10ba54d8911e acclen=72 vb=1
BANKPOP t=597110000 word=75b0c7d257f37f5e acclen=112 vb=1
BANKPOP t=597120000 word=91d29f81e348849f acclen=100 vb=1
BANKPOP t=597130000 word=931ede2244f05de9 acclen=88 vb=1
BANKPOP t=597140000 word=fbafc198d768e447 acclen=76 vb=1
BANKPOP t=597150000 word=86ef2046f0ab2cbf acclen=64 vb=1
BANKPOP t=597170000 word=1ad024bb04b01daa acclen=104 vb=1
BANKPOP t=597180000 word=042933ae43c3149e acclen=92 vb=1
BANKPOP t=597190000 word=35d9158080370454 acclen=80 vb=1
BANKPOP t=597200000 word=026a476944768426 acclen=68 vb=1
BANKPOP t=597220000 word=97d97bc1f27a0ed4 acclen=108 vb=1
BANKPOP t=597230000 word=c9e1a8f81472ce97 acclen=96 vb=1
BANKPOP t=597240000 word=a35a971d57e6e1a8 acclen=84 vb=1
BANKPOP t=597250000 word=d0ce7e22a1d415b6 acclen=72 vb=1
BANKPOP t=597270000 word=4d00d7f3402f2d7b acclen=112 vb=1
BANKPOP t=597280000 word=374126f22061f72f acclen=100 vb=1
BANKPOP t=597290000 word=a2439feeca0a95a1 acclen=88 vb=1
BANKPOP t=597300000 word=a611a5040918c769 acclen=76 vb=1
BANKPOP t=597310000 word=fd839bd5af60f7a7 acclen=64 vb=1
BANKPOP t=597330000 word=23855f19254df0af acclen=104 vb=1
BANKPOP t=597340000 word=139c07bbaca499dd acclen=92 vb=1
BANKPOP t=597350000 word=fdc4d672997866bd acclen=80 vb=1
BANKPOP t=597360000 word=85c6a313c9f84f4c acclen=68 vb=1
BANKPOP t=597380000 word=c4b24914da078a21 acclen=108 vb=1
BANKPOP t=597390000 word=8abd69fba7ed0194 acclen=96 vb=1
BANKPOP t=597400000 word=c0ec501fcb021ff5 acclen=84 vb=1
BANKPOP t=597410000 word=fe362c18347294bc acclen=72 vb=1
BANKPOP t=597430000 word=dcecb916f838b635 acclen=112 vb=1
BANKPOP t=597440000 word=ce502c836254b07a acclen=100 vb=1
BANKPOP t=597450000 word=918529feff0aeb9a acclen=88 vb=1
BANKPOP t=597460000 word=3228edce6c97906f acclen=76 vb=1
BANKPOP t=597470000 word=54dd6561bf1bb2a1 acclen=64 vb=1
BANKPOP t=597490000 word=7fda4bf279228659 acclen=104 vb=1
BANKPOP t=597500000 word=182f4b39efd77d54 acclen=92 vb=1
BANKPOP t=597510000 word=a1fac01efbd2ceb3 acclen=80 vb=1
BANKPOP t=597520000 word=6db31f33b1569890 acclen=68 vb=1
BANKPOP t=597540000 word=63287a6cda6ba8be acclen=108 vb=1
BANKPOP t=597550000 word=388f1e486448009a acclen=96 vb=1
BANKPOP t=597560000 word=5a0baf9544e608c3 acclen=84 vb=1
BANKPOP t=597570000 word=901fd7ed56f8f6a1 acclen=72 vb=1
BANKPOP t=597590000 word=53c08bf55261e8f1 acclen=112 vb=1
BANKPOP t=597600000 word=211afd1b134c0f11 acclen=100 vb=1
BANKPOP t=597610000 word=9b56bce16264ac32 acclen=88 vb=1
BANKPOP t=597620000 word=0555ac9a5c459d6f acclen=76 vb=1
BANKPOP t=597630000 word=dd62510139d61dc7 acclen=64 vb=1
BANKPOP t=597650000 word=f52dc481f7dcea14 acclen=104 vb=1
BANKPOP t=597660000 word=f1cdef10ab758159 acclen=92 vb=1
BANKPOP t=597670000 word=6f6586c6033b7b0e acclen=80 vb=1
BANKPOP t=597680000 word=85ef2622602036f7 acclen=68 vb=1
BANKPOP t=597700000 word=d061b4370aad928b acclen=108 vb=1
BANKPOP t=597710000 word=25fd16de35d5f96c acclen=96 vb=1
BANKPOP t=597720000 word=f94e412253ee72bd acclen=84 vb=1
BANKPOP t=597730000 word=5842c0b13aa97ffe acclen=72 vb=1
BANKPOP t=597750000 word=8aca7e0f37779f68 acclen=112 vb=1
BANKPOP t=597760000 word=2205a2baac18fc42 acclen=100 vb=1
BANKPOP t=597770000 word=8fb1328f36f16f66 acclen=88 vb=1
BANKPOP t=597780000 word=2d7c28aab4d39867 acclen=76 vb=1
BANKPOP t=597790000 word=89424d923abdb1f7 acclen=64 vb=1
BANKPOP t=597810000 word=e2fb52f2f7841263 acclen=104 vb=1
BANKPOP t=597820000 word=628034d6908a4e54 acclen=92 vb=1
BANKPOP t=597830000 word=1ad6262696cbc108 acclen=80 vb=1
BANKPOP t=597840000 word=44bcfecb8992c6e9 acclen=68 vb=1
BANKPOP t=597860000 word=13d0e25c9ed5156d acclen=108 vb=1
BANKPOP t=597870000 word=0fbfa73b8f2caaed acclen=96 vb=1
BANKPOP t=597880000 word=0147536b3336bced acclen=84 vb=1
BANKPOP t=597890000 word=0fa1baeed0791b1c acclen=72 vb=1
BANKPOP t=597910000 word=4a7e793db1288388 acclen=112 vb=1
BANKPOP t=597920000 word=51d103ff2482ef7a acclen=100 vb=1
BANKPOP t=597930000 word=0f89d29c4da2ea7d acclen=88 vb=1
BANKPOP t=597940000 word=38bd6acfe4d53769 acclen=76 vb=1
BANKPOP t=597950000 word=2f30b8259ce75b2e acclen=64 vb=1
BANKPOP t=597970000 word=0f9f2d489b2fdc1f acclen=104 vb=1
BANKPOP t=597980000 word=79a1d0035ea6ea89 acclen=92 vb=1
BANKPOP t=597990000 word=71f1e72c0867d4fd acclen=80 vb=1
BANKPOP t=598000000 word=cce1da7c3a972ae2 acclen=68 vb=1
BANKPOP t=598020000 word=14dbb807b1a4d880 acclen=108 vb=1
BANKPOP t=598030000 word=65750a4b957049fc acclen=96 vb=1
BANKPOP t=598040000 word=501134a62175aba1 acclen=84 vb=1
BANKPOP t=598050000 word=6f90bb39697f8feb acclen=72 vb=1
BANKPOP t=598070000 word=445f3809f8a0e0f3 acclen=112 vb=1
BANKPOP t=598080000 word=b97b574b0bd94a12 acclen=100 vb=1
BANKPOP t=598090000 word=88b7cf1a5783aba4 acclen=88 vb=1
BANKPOP t=598100000 word=394224d91c11722d acclen=76 vb=1
BANKPOP t=598110000 word=ffb21912e3675308 acclen=64 vb=1
BANKPOP t=598130000 word=252a42eeaf46aa0d acclen=104 vb=1
BANKPOP t=598140000 word=58f8d97ce162d8e1 acclen=92 vb=1
BANKPOP t=598150000 word=9364d48578f9445d acclen=80 vb=1
BANKPOP t=598160000 word=285fa614690e15d8 acclen=68 vb=1
BANKPOP t=598180000 word=43636c1f230ddbb9 acclen=108 vb=1
BANKPOP t=598190000 word=e47b8e312d459750 acclen=96 vb=1
BANKPOP t=598200000 word=ea24dfd4f4734bcc acclen=84 vb=1
BANKPOP t=598210000 word=c9b346de145c290c acclen=72 vb=1
BANKPOP t=598230000 word=5eef792e32c567f6 acclen=112 vb=1
BANKPOP t=598240000 word=6d6a3cf39ef5c9fe acclen=100 vb=1
BANKPOP t=598250000 word=e8945d7a85aa3116 acclen=88 vb=1
BANKPOP t=598260000 word=8c461b0814c1c55c acclen=76 vb=1
BANKPOP t=598270000 word=17b99408cb801c84 acclen=64 vb=1
BANKPOP t=598290000 word=93c2dce91234f60b acclen=104 vb=1
BANKPOP t=598300000 word=00fcbc4580decf74 acclen=92 vb=1
BANKPOP t=598310000 word=18a27aeb1358468e acclen=80 vb=1
BANKPOP t=598320000 word=24a3bef1406ff85e acclen=68 vb=1
BANKPOP t=598340000 word=c54d60cbf187d7f1 acclen=108 vb=1
BANKPOP t=598350000 word=9a9a0f51b32d9870 acclen=96 vb=1
BANKPOP t=598360000 word=df2fc8e632d5d8a9 acclen=84 vb=1
BANKPOP t=598370000 word=6e58d263250a72d2 acclen=72 vb=1
BANKPOP t=598390000 word=062386357bfe0e65 acclen=112 vb=1
BANKPOP t=598400000 word=d0cf5d789f27ef7d acclen=100 vb=1
BANKPOP t=598410000 word=bf2be00f06e90550 acclen=88 vb=1
BANKPOP t=598420000 word=54c90ce6f9f07924 acclen=76 vb=1
BANKPOP t=598430000 word=a08b1d434393973f acclen=64 vb=1
BANKPOP t=598450000 word=b34f3be2c87adf19 acclen=104 vb=1
BANKPOP t=598460000 word=d8cc3dcb7c9ed71a acclen=92 vb=1
BANKPOP t=598470000 word=2fc73645dcee81a0 acclen=80 vb=1
BANKPOP t=598480000 word=fa1f2cf4fe8960db acclen=68 vb=1
BANKPOP t=598500000 word=fb91870a162f5457 acclen=108 vb=1
BANKPOP t=598510000 word=beb75bc4b24eee04 acclen=96 vb=1
BANKPOP t=598520000 word=95ced16a89781bfb acclen=84 vb=1
BANKPOP t=598530000 word=6945b236fc346860 acclen=72 vb=1
BANKPOP t=598550000 word=74f219ab02990196 acclen=112 vb=1
BANKPOP t=598560000 word=a58a6d70383c876d acclen=100 vb=1
BANKPOP t=598570000 word=ec917207d9e11a9e acclen=88 vb=1
BANKPOP t=598580000 word=58141435d470d8d8 acclen=76 vb=1
BANKPOP t=598590000 word=b2b71e9634e2a932 acclen=64 vb=1
BANKPOP t=598610000 word=5c37c62c031ba8d9 acclen=104 vb=1
BANKPOP t=598620000 word=a47f2784a1354157 acclen=92 vb=1
BANKPOP t=598630000 word=6e9cec4d4f2447d0 acclen=80 vb=1
BANKPOP t=598640000 word=fbc45b73f6d3f54e acclen=68 vb=1
BANKPOP t=598660000 word=a0c1d934c299c029 acclen=108 vb=1
BANKPOP t=598670000 word=e80e93e19ccae5e7 acclen=96 vb=1
BANKPOP t=598680000 word=d8eed808ba5928b6 acclen=84 vb=1
BANKPOP t=598690000 word=08778e771ec7b7be acclen=72 vb=1
BANKPOP t=598710000 word=07b79ae420d1c0d3 acclen=112 vb=1
BANKPOP t=598720000 word=644c227cb3c8564f acclen=100 vb=1
BANKPOP t=598730000 word=76fd9f6d89d80e77 acclen=88 vb=1
BANKPOP t=598740000 word=4da38c9294e81af5 acclen=76 vb=1
BANKPOP t=598750000 word=e97787ad56eaa184 acclen=64 vb=1
BANKPOP t=598770000 word=2a579ddddb8c0659 acclen=104 vb=1
BANKPOP t=598780000 word=b904ae9882af838a acclen=92 vb=1
BANKPOP t=598790000 word=c9256a2328d406c7 acclen=80 vb=1
BANKPOP t=598800000 word=74629b16703fdc41 acclen=68 vb=1
BANKPOP t=598820000 word=43f959b4038b2474 acclen=108 vb=1
BANKPOP t=598830000 word=daa0ca05e75b9a79 acclen=96 vb=1
BANKPOP t=598840000 word=c5ad7134fa973f4a acclen=84 vb=1
BANKPOP t=598850000 word=d67fe8ce9bda5284 acclen=72 vb=1
BANKPOP t=598870000 word=8bbe2e4fc4c4d2b3 acclen=112 vb=1
BANKPOP t=598880000 word=161ed836a1c1b104 acclen=100 vb=1
BANKPOP t=598890000 word=08d8c5cd47788a54 acclen=88 vb=1
BANKPOP t=598900000 word=c2afcf837bf784e6 acclen=76 vb=1
BANKPOP t=598910000 word=31a8151fd427f7f3 acclen=64 vb=1
BANKPOP t=598930000 word=d3d8bf5df91abf73 acclen=104 vb=1
BANKPOP t=598940000 word=9825e868a6fd5d13 acclen=92 vb=1
BANKPOP t=598950000 word=b3643321c5ca211e acclen=80 vb=1
BANKPOP t=598960000 word=13cfd3b2577178c6 acclen=68 vb=1
BANKPOP t=598980000 word=686579d9122bee54 acclen=108 vb=1
BANKPOP t=598990000 word=021f5b2a1e7e1637 acclen=96 vb=1
BANKPOP t=599000000 word=4909301b4daa0e4d acclen=84 vb=1
BANKPOP t=599010000 word=d7f5623af5842262 acclen=72 vb=1
BANKPOP t=599030000 word=b9bab2e4bbd319dd acclen=112 vb=1
BANKPOP t=599040000 word=9acd19e7c50b3e65 acclen=100 vb=1
BANKPOP t=599050000 word=6c55819f6dd9dc32 acclen=88 vb=1
BANKPOP t=599060000 word=c1f6723356717c1a acclen=76 vb=1
BANKPOP t=599070000 word=76607b336eee6d84 acclen=64 vb=1
BANKPOP t=599090000 word=007c9239846222bf acclen=104 vb=1
BANKPOP t=599100000 word=fe6e864d8c4973b4 acclen=92 vb=1
BANKPOP t=599110000 word=a1828f2208cfb8b2 acclen=80 vb=1
BANKPOP t=599120000 word=54294db0ce2f5237 acclen=68 vb=1
